Hidden	Lambdaval	Accuracy
4	0	64.66
4	5	65.76
4	10	65.41
4	15	65.01
4	20	64.7
4	25	65.9
4	30	65.69
4	35	65.21
4	40	67.28
4	45	68.34
4	50	72.97
4	55	69.55
4	60	74.82
8	0	88.21
8	5	88.67
8	10	88.42
8	15	88.49
8	20	88.46
8	25	88.56
8	30	89.03
8	35	89.0
8	40	88.67
8	45	88.3
8	50	88.66
8	55	88.66
8	60	88.19
12	0	91.4
12	5	91.53
12	10	91.68
12	15	91.68
12	20	91.68
12	25	91.62
12	30	91.55
12	35	91.44
12	40	91.33
12	45	91.2
12	50	91.06
12	55	91.02
12	60	90.82
16	0	91.6
16	5	91.89
16	10	91.65
16	15	91.91
16	20	91.85
16	25	91.72
16	30	91.77
16	35	91.68
16	40	91.64
16	45	91.48
16	50	91.37
16	55	91.27
16	60	91.3
20	0	92.85
20	5	92.86
20	10	92.82
20	15	92.84
20	20	92.78
20	25	92.76
20	30	92.65
20	35	92.57
20	40	92.33
20	45	92.27
20	50	92.25
20	55	92.02
20	60	91.99
50	0	93.46
50	5	93.74
50	10	93.45
50	15	93.65
50	20	93.58
50	25	93.52
50	30	93.46
50	35	93.28
50	40	93.21
50	45	92.99
50	50	92.94
50	55	92.81
50	60	92.71
