Hidden	Lambdaval	Time
4	0	28.088433742523193
4	5	55.00902819633484
4	10	82.89658403396606
4	15	109.47509384155273
4	20	137.2589373588562
4	25	164.12662434577942
4	30	189.93695998191833
4	35	215.2212176322937
4	40	240.27061367034912
4	45	265.32352900505066
4	50	290.3727548122406
4	55	314.19747138023376
4	60	338.21957874298096
8	0	27.933969497680664
8	5	55.50282287597656
8	10	82.73935437202454
8	15	109.9594407081604
8	20	136.94549226760864
8	25	163.92432975769043
8	30	190.91619420051575
8	35	218.16597747802734
8	40	245.4293954372406
8	45	271.8977324962616
8	50	298.6386091709137
8	55	325.3850312232971
8	60	351.43637323379517
12	0	30.118495225906372
12	5	61.13179564476013
12	10	91.82506537437439
12	15	121.94740414619446
12	20	152.30502247810364
12	25	182.7238757610321
12	30	212.85070085525513
12	35	243.64887261390686
12	40	273.7950437068939
12	45	304.20621275901794
12	50	334.35108065605164
12	55	364.4927589893341
12	60	394.62984800338745
16	0	36.128570318222046
16	5	71.67310047149658
16	10	107.50339484214783
16	15	142.20460653305054
16	20	176.35032415390015
16	25	210.44979119300842
16	30	244.5976152420044
16	35	278.3710904121399
16	40	312.00683093070984
16	45	345.4195966720581
16	50	378.8672218322754
16	55	412.66508960723877
16	60	446.47694516181946
20	0	36.20845317840576
20	5	71.94815707206726
20	10	108.67910027503967
20	15	144.33033299446106
20	20	179.9876832962036
20	25	215.98633790016174
20	30	251.68694353103638
20	35	287.3429002761841
20	40	323.2965579032898
20	45	359.3315579891205
20	50	395.0033972263336
20	55	430.70245838165283
20	60	465.9822745323181
50	0	59.628817558288574
50	5	122.4111578464508
50	10	181.91155529022217
50	15	239.83690452575684
50	20	297.27121472358704
50	25	354.75331592559814
50	30	411.3776090145111
50	35	467.66561126708984
50	40	524.3897972106934
50	45	580.7319180965424
50	50	637.0424237251282
50	55	691.0793788433075
50	60	746.8494710922241
